date,open,high,low,close,volume
2020-10-26,9706.283,9710.186,9612.934,9664.563,7067538100
2020-10-27,9635.838,9670.475,9600.008,9650.447,5519763300
2020-10-28,9655.222,9737.087,9619.91,9708.4,6171879000
2020-10-29,9603.388,9807.345,9595.643,9740.082,6797227300
2020-10-30,9743.787,9765.142,9582.784,9604.234,8614849700
2020-11-02,9609.089,9664.002,9550.254,9597.733,8252458400
2020-11-03,9645.209,9772.459,9639.561,9730.873,7983040900
2020-11-04,9737.83,9808.428,9697.682,9782.511,6487954100
2020-11-05,9879.845,9931.063,9836.16,9919.896,7865068000
2020-11-06,9946.036,9946.042,9842.088,9909.575,8446099900
2020-11-09,9972.381,10118.943,9972.381,10090.182,11315932400
2020-11-10,10137.373,10137.373,10022.949,10063.61,10513345600
2020-11-11,10050.481,10097.634,10017.624,10026.442,9515012400
2020-11-12,10033.178,10044.361,9973.727,10001.702,6585800800
2020-11-13,9953.294,9953.294,9802.05,9861.885,7452523400
2020-11-16,9900.172,9980.12,9872.671,9980.12,8439832900
2020-11-17,9979.001,9999.204,9925.484,9975.529,8370226900
2020-11-18,9968.904,10048.879,9958.916,10002.85,9811486700
2020-11-19,9973.649,10077.875,9950.719,10060.936,7697476900
2020-11-20,10049.385,10098.901,10042.723,10090.865,7470483200
2020-11-23,10119.172,10294.44,10107.794,10238.072,12892004600
2020-11-24,10212.574,10237.92,10163.231,10180.137,9453784600
2020-11-25,10230.554,10258.057,10066.246,10066.246,10427614800
2020-11-26,10060.868,10127.3,10027.765,10124.574,8041240000
2020-11-27,10142.835,10267.613,10127.204,10267.613,11022166300
2020-11-30,10298.385,10461.473,10210.254,10210.254,17721941500
2020-12-01,10224.838,10458.051,10215.125,10443.079,12677736400
2020-12-02,10450.007,10493.815,10387.747,10424.868,11333392400
2020-12-03,10420.554,10429.895,10348.234,10398.448,10396103800
2020-12-04,10391.302,10425.646,10310.874,10413.105,8682083000
2020-12-07,10427.025,10430.597,10288.727,10310.279,8302497600
2020-12-08,10316.546,10360.948,10261.175,10284.263,7199911400
2020-12-09,10312.306,10338.444,10177.326,10179.071,8032725400
2020-12-10,10160.611,10216.459,10129.696,10173.819,7434950000
2020-12-11,10210.141,10210.921,10010.983,10076.543,9287855900
2020-12-14,10104.483,10185.719,10079.766,10178.919,7109264300
2020-12-15,10171.715,10203.624,10113.497,10182.195,7055158700
2020-12-16,10204.485,10241.716,10175.033,10209.006,6397932300
2020-12-17,10228.699,10367.144,10204.841,10358.69,8530137100
2020-12-18,10336.533,10376.17,10259.715,10307.512,8416998600
2020-12-21,10305.562,10389.498,10248.471,10369.062,8440195500
2020-12-22,10347.114,10362.102,10167.424,10176.864,10033135900
2020-12-23,10202.39,10310.072,10192.752,10266.669,8136525300
2020-12-24,10267.841,10328.008,10203.309,10239.895,6407469600
2020-12-25,10207.503,10342.25,10189.263,10341.984,7243552500
2020-12-28,10347.046,10431.348,10329.468,10375.471,8451918700
2020-12-29,10393.542,10409.171,10316.607,10324.686,8101660100
2020-12-30,10317.56,10476.122,10315.022,10476.122,8122407400
2020-12-31,10499.901,10696.467,10499.901,10685.412,10819879500
2021-01-04,10685.598,10788.543,10620.923,10750.437,13082090400
2021-01-05,10705.092,10867.815,10685.009,10867.815,13550073100
2021-01-06,10882.862,11000.065,10835.561,10993.466,12465324200
2021-01-07,11023.245,11186.987,10975.946,11186.987,13878354400
2021-01-08,11204.944,11251.105,11041.44,11143.727,12051198800
2021-01-11,11154.691,11289.974,11013.677,11056.801,13563579900
2021-01-12,11011.482,11392.133,11010.921,11392.133,13255679600
2021-01-13,11410.847,11468.175,11257.909,11336.256,15971217600
2021-01-14,11300.172,11310.932,11137.217,11164.254,14428506100
2021-01-15,11184.917,11260.946,11044.237,11148.363,14960934000
2021-01-18,11110.998,11300.124,11071.339,11247.676,12371420400
2021-01-19,11257.575,11268.838,11072.438,11121.682,12386943700
2021-01-20,11126.333,11216.316,11090.126,11166.262,10597462600
2021-01-21,11206.326,11360.452,11173.985,11300.863,12690257900
2021-01-22,11297.827,11324.593,11209.03,11281.275,12418339100
2021-01-25,11280.845,11431.544,11243.527,11401.974,12255913000
2021-01-26,11349.518,11349.518,11163.525,11176.91,10362317600
2021-01-27,11174.179,11217.133,11092.396,11207.183,9516740300
2021-01-28,11067.605,11101.398,10926.111,10961.351,9546306800
2021-01-29,11027.237,11049.359,10765.159,10889.668,10166605600
2021-02-01,10884.501,10979.956,10846.811,10975.066,9406009600
2021-02-02,10998.508,11093.426,10948.417,11087.105,9278483600
2021-02-03,11075.542,11144.403,11012.825,11067.208,11106955000
2021-02-04,11021.495,11140.4,10946.98,11067.788,10526775000
2021-02-05,11107.218,11227.455,11075.606,11108.989,11310589400
2021-02-08,11146.932,11283.636,11108.14,11259.309,9698560400
2021-02-09,11294.381,11485.074,11231.099,11484.928,9678677900
2021-02-10,11521.686,11712.952,11516.2,11681.011,10489095400
2021-02-18,11901.371,11935.969,11656.112,11700.108,13371219700
2021-02-19,11648.561,11744.123,11534.233,11724.442,13504609800
2021-02-22,11759.716,11759.716,11421.41,11424.118,18574853800
2021-02-23,11325.618,11541.189,11325.618,11407.541,15655247300
2021-02-24,11421.258,11441.313,11023.57,11138.541,14638499300
2021-02-25,11257.818,11325.853,11165.756,11237.101,15741640200
2021-02-26,10990.51,11122.757,10941.627,10959.566,14329349400
2021-03-01,11052.519,11077.706,10937.991,11070.762,11881153700
2021-03-02,11133.985,11133.985,10822.699,10903.265,13496808900
2021-03-03,10875.869,11161.198,10870.127,11159.255,13801033300
2021-03-04,11025.628,11048.202,10795.977,10854.258,15004090000
2021-03-05,10692.464,10890.875,10641.951,10803.264,14011319500
